name,calories,protein,carbohydrate,fat,vitaminc,ingredients
ข้าวซอยไก่,506,23,57.6,19.6,24.18,"egg noodle, chicken, coconut milk, coconut cream, curry paste, soy sauce, chili, coriander, ginger, shallot, curry powder, oil"
ผัดเห็ดหูหนูหมูสับ,564,42.9,75.6,15.9,0,"ear mushroom, egg, garlic, carrot, soy sauce, oyster sauce, spring onion, pepper, oil"
สุกี้ไก่น้ำ,261,12,41,5.5,113,"vermicelli, chicken, squid, chili, sugar, soy sauce, coriander, vinegar,water, lettuce"
ส้มตำไทย,240,13.6,38.5,5.9,423.29,"papaya, carrot, sting bean, fish sauce, sugar, lime, tomato, shrimp, penut, chili, garlic"
น้ำพริกอ่อง,346,34.5,34.9,10.2,104.602,"pork, grain, tomato, shallot, spring onion, coriander, salt, oil, water"
แซนวิชทูน่า,108,4.4,11.3,5,0,"bread, mayonnaise, tuna, cheese, onion, lemon"
น้ำพริกปลาทู,77,8.5,8.9,1.1,77.33,"mackerel, chili, shallot, garlic, spring onion, coriander, lemon grass, cucumber, cabbage, eggplant, carrot, baby corn, lime, sugar"
มันบด,147,3.4,22.4,5.1,12,"potato, butter, milk, salt, cheese"
ไก่ผัดมะเขือ,515,46,5.4,33.5,22.4,"chicken, eggplat, salt, fish sauce, oyster sauce, sugar, soy sauce"
ต้มจับฉ่าย,61,7.2,5.2,1.3,2.4,"cabbage, mushroom, spinach, kale, celery, sugar, soy sauce,bean paste,pepper, "
ไก่ผัดผักบุ้ง,450,42.7,35.2,14.2,95.8,"morning glory, garlic, chili, oyster sauce, fish sauce, sugar, oil"
คั่วกลิ้งอกไก่,205,34,9,3.9,1.77834,"chicken, kaffir lime leave, oil, lemongrass, garlic, shallot, galangal, salt, pepper, shrimp paste"
ข้าวพองปลาหยอง,90,4,14,2.5,6,"chili paste, fish, fish sauce, sugar, galangal, kaffir lime leave,"
ปลาหยอง,40,4.5,3.5,0.8,0,"fish, salt, sugar, fish sauce, soy sauce"
ปลาหยองคั่วพริกแกงใบมะกรูด,40,4.5,3,3,0,"dried shredded fish, curt paste, eggplant, kaffir lime, leave, pepper, coconut milk, sugar, fish sauce"
ปลาหยองคั่วแกงเขียวหวาน,45,4,3,1.5,0,"dried shredded fish, green curry paste, coconut milk, eggplant, kaffir lime leave, basil leave, chili, kaempferia, salt, fish sauce, sugar, oil"
ปลาหยองคั่วผัดฉ่า,40,4,3,1.5,0,"dried shredded fish, eggplant, fingerroot, kaffir lime, green pepper corn, garlic, sugar, fish sauce "
ข้าวผัดต้มยำ อกไก่,355,22.7,37.5,13,44.336,"chicken, lemongrass, galangal, kaffir lemon grass, rice, oil, chili paste, shrimp, squid, shallot, tomato, chili, salt, fish sauce, coriander"
สปาเก็ตตี้คาโบน่าร่า,742,20.2,55.9,49,20.2,"spaghetti, cream, cheese, butter, onion, sugar, pepper, ham, salt, milk"
ข้าวคลุกกะปิหมู,452,12.8,55.4,19.5,25.547,"pork, shallot, ginger, oil, rice, shrimp paste, long bean, mango, chili, lime, dry shrimp"
ข้าวอกไก่อบ ,318,37.7,28.6,4.7,69.36,"rice, chicken, coriander root, garlic, pepper, soy sauce, oyster sauce, sugar"
